,Address,Lat,Lng
87,"773 Richmond St W, Toronto",43.645264552777775,-79.40925502222221
88,"82 Dovercourt Rd, Toronto",43.64247236,-79.42221198
89,"30 Borden St, Toronto",43.657804526086956,-79.40565117391304
90,"625 Bathurst St, Toronto",43.66005418666666,-79.40899101333333
91,"716 Richmond St W, Toronto",43.64573682,-79.40780511999999
92,"106 Harbord St, Toronto",43.66291806666666,-79.40356003333333
93,"9 Joseph Salsberg Lane, Toronto",43.644424685714284,-79.40412748571428
94,"748 Richmond St W, Toronto",43.64555134705883,-79.40873268823529
95,"77 Robert St, Toronto",43.66028885714286,-79.402754
96,"102 Massey St, Toronto",43.64447798787879,-79.41382127272728
97,"640 Wellington St W, Toronto",43.64209829411765,-79.4052524117647
98,"10 Joseph Salsberg Lane, Toronto",43.644412,-79.40437614285715
99,"92 Willcocks St, Toronto",43.661088,-79.4028045
100,"33 Stafford St, Toronto",43.64258617,-79.41069852000001
101,"242 Brunswick Ave, Toronto",43.6642776,-79.40692795
102,"250 Major St, Toronto",43.664675753846154,-79.40582425384616
103,"150 Major St, Toronto",43.661946,-79.404728
104,"227 Major St, Toronto",43.6645514,-79.4055268
105,"216 Lippincott St, Toronto",43.66049315714285,-79.40815114285714
106,"258 Robert St, Toronto",43.664535323529414,-79.40471888235295
107,"42 Borden St, Toronto",43.65808759565217,-79.40576170434782
108,"635 Wellington St W, Toronto",43.641958625,-79.4050125
109,"637 Wellington St W, Toronto",43.64193325,-79.405142
110,"50 Stanley Terr, Toronto",43.6426892,-79.4103654
111,"71 Robert St, Toronto",43.66017914285714,-79.40270749999999
112,"95 Walnut Ave, Toronto",43.642026099999995,-79.4077163
113,"184 Lippincott St, Toronto",43.659115735294115,-79.40758176470588
114,"633 Wellington St W, Toronto",43.641984,-79.404883
115,"281 Brunswick Ave, Toronto",43.6652379483871,-79.40707113225807
116,"902 Adelaide St W, Toronto",43.64304432307692,-79.41458091538462
117,"83 Harbord St, Toronto",43.6593023,-79.4206614
118,"851 Richmond St W, Toronto",43.644401925,-79.41186867500001
119,"23 Camden St, Toronto",43.64696155,-79.3968936
120,"693 Richmond St W, Toronto",43.64577515714286,-79.40671554285714
121,"28 Ulster St, Toronto",43.66065128571429,-79.40567988571428
122,"767 Richmond St W, Toronto",43.64530251111111,-79.40906518888889
123,"176 Robert St, Toronto",43.66213101573033,-79.40381163707865
124,"65 Major St, Toronto",43.659434747619045,-79.40337286190476
125,"46 Stanley Terr, Toronto",43.642598,-79.41033113333333
126,"200 Robert St, Toronto",43.663045833333335,-79.40418274074075
127,"78 Willcocks St, Toronto",43.661282220000004,-79.4022334
